stdDay,Susceptible,Alpha_Infected,Alpha_Recovered,Alpha_Dead,Alpha_alpha,Alpha_beta,Alpha_gamma,Delta_Infected,Delta_Recovered,Delta_Dead,Delta_alpha,Delta_beta,Delta_gamma
2021-05-27,1438142,41.349999999999966,252.26000000000002,1.67,0.009692123965599672,0.07714631197097946,0.0,6.09,9.76,0.02,0.03948466265788631,0.05418719211822661,0.0
2021-05-28,1438134,38.56,255.45000000000002,1.67,0.011692634849145542,0.08272821576763405,0.0,6.0,10.09,0.02,0.045086799978305225,0.055000000000000014,0.0
2021-05-29,1438125,35.81999999999999,258.64,1.67,0.01258712510837543,0.11334450027917373,0.0,5.9399999999999995,10.42,0.02,0.045542507210303826,0.0707070707070707,0.0
2021-05-30,1438116,32.20999999999998,262.7,1.67,0.020219246470080512,0.24309220738900927,0.0,5.789999999999999,10.84,0.02,0.06748828277733605,0.13989637305699493,0.0
2021-05-31,1438103,25.03000000000003,270.53,1.67,0.010007495866572935,0.12744706352377122,0.0,5.369999999999999,11.65,0.02,0.027987443747521882,0.06145251396648047,0.0
2021-06-01,1438098,22.090000000000032,273.71999999999997,1.67,0.011339451898565812,0.05251244907197933,0.0,5.190000000000001,11.98,0.02,0.02895820721841839,0.023121387283236837,0.0
2021-06-02,1438093,21.180000000000007,274.88,1.67,0.00946135461168549,0.20538243626062155,0.0,5.220000000000001,12.1,0.02,0.02303350467534468,0.08620689655172434,0.0
2021-06-03,1438089,17.03000000000003,279.22999999999996,1.67,0.020592253910856572,0.2213740458015286,0.0,4.890000000000001,12.55,0.02,0.04302896737446478,0.07975460122699361,0.0
2021-06-04,1438082,13.609999999999957,283.0,1.67,0.03312889807804992,0.3196179279941205,0.0,4.709999999999999,12.94,0.02,0.057437490807930966,0.09554140127388559,0.0
2021-06-05,1438073,9.710000000000036,287.34999999999997,1.67,0.010318963832138007,0.26879505664263686,0.0,4.530000000000001,13.39,0.02,0.01327114421325303,0.059602649006622405,0.0
2021-06-06,1438071,7.199999999999989,289.96,1.67,0.06679818543961562,0.11111111111111287,0.0,4.32,13.66,0.02,0.12988536057703018,0.1111111111111112,0.0
2021-06-07,1438067,6.8799999999999955,290.76,1.67,0.01747631805685673,0.15261627906976918,0.0,4.399999999999999,14.14,0.02,0.03188104081887196,0.143181818181818,0.0
2021-06-08,1438066,5.949999999999989,291.81,1.67,0.14145547275462553,0.1764705882352868,0.0,3.91,14.77,0.02,0.25113471612234195,0.16112531969309482,0.0
2021-06-09,1438059,5.740000000000009,292.85999999999996,1.67,0.08378936384424256,0.13066202090592313,0.0,4.26,15.4,0.02,0.1317158309570294,0.10563380281690125,0.0
2021-06-10,1438055,5.470000000000027,293.60999999999996,1.67,0.02198136591625877,0.07312614259598393,0.0,4.369999999999999,15.85,0.02,0.03210017166031857,0.05491990846681928,0.0
2021-06-11,1438054,5.189999999999998,294.01,1.67,0.1621709221994454,0.08670520231213658,0.0,4.27,16.09,0.02,0.2299636847582299,0.06323185011709592,0.0
2021-06-12,1438047,5.579999999999984,294.46,1.67,0.06464448411742674,0.08064516129032077,0.0,4.98,16.36,0.02,0.08450513887639496,0.05421686746987943,0.0
2021-06-13,1438044,5.490000000000009,294.90999999999997,1.67,0.0876058224382593,0.11839708561020638,0.0,5.130000000000003,16.63,0.02,0.10937919936004904,0.07602339181286558,0.0
2021-06-14,1438040,5.319999999999993,295.56,1.67,0.09040550808190691,0.037593984962403924,0.009398496240601524,5.300000000000001,17.02,0.02,0.10587110443302546,0.02264150943396245,0.005660377358490566
2021-06-15,1438036,5.5499999999999545,295.76,1.72,0.021664803640220286,0.04504504504504541,0.0,5.709999999999997,17.14,0.05,0.024567356141930875,0.026269702276707295,0.0
2021-06-16,1438035,5.419999999999959,296.01,1.72,0.13310672747278743,0.03690036900368822,0.0,5.699999999999999,17.29,0.05,0.14766284328413795,0.021052631578947545,0.0
2021-06-17,1438029,5.939999999999998,296.21,1.72,0.04048493114568974,0.0589225589225532,0.0,6.419999999999998,17.41,0.05,0.043701023806795934,0.03271028037383136,0.0
2021-06-18,1438027,5.830000000000041,296.55999999999995,1.72,0.08249771027935932,0.07718696397942407,0.0,6.490000000000002,17.619999999999997,0.05,0.08645946472780373,0.041602465331279356,0.0
2021-06-19,1438023,5.859999999999957,297.01,1.72,0.06155669651493204,0.01706484641637656,0.0,6.779999999999998,17.89,0.05,0.06207118217901906,0.008849557522123708,0.0
2021-06-20,1438020,6.1200000000000045,297.10999999999996,1.72,0.03929444380358502,0.05882352941177618,0.019607843137254867,7.140000000000001,17.95,0.05,0.10946309345284405,0.05882352941176444,0.0196078431372549
2021-06-21,1438018,5.8799999999999955,297.47,1.8399999999999999,0.04089835553419461,0.020408163265306912,0.0,7.360000000000003,18.369999999999997,0.19,0.10619124650250791,0.019021739130434853,0.0
2021-06-22,1438016,6.0,297.59000000000003,1.8399999999999999,0.08016088833503938,0.13999999999999582,0.0,8.0,18.509999999999998,0.19,0.1953921653166585,0.12250000000000005,0.0
2021-06-23,1438012,5.640000000000043,298.43,1.8399999999999999,0.021319444497873704,0.08510638297872598,0.0,8.580000000000002,19.49,0.19,0.04554608597273052,0.06526806526806511,0.0
2021-06-24,1438011,5.279999999999973,298.91,1.8399999999999999,0.11386529411426358,0.022727272727273706,0.0,8.41,20.049999999999997,0.19,0.23233394137939992,0.01664684898929852,0.0
2021-06-25,1438006,5.759999999999991,299.03000000000003,1.8399999999999999,0.16700301204121104,0.14583333333332923,0.0,10.220000000000002,20.189999999999998,0.19,0.3058998420167774,0.09589041095890413,0.0
2021-06-26,1437998,5.8799999999999955,299.87,1.8399999999999999,0.24539354614639858,0.06122448979592073,0.0,12.36,21.169999999999998,0.19,0.3794070118816888,0.03398058252427198,0.0
2021-06-27,1437986,6.9599999999999795,300.23,1.8399999999999999,0.12093489759648071,0.06896551724138213,0.0,16.619999999999997,21.59,0.19,0.1645937053930437,0.03369434416365817,0.0
2021-06-28,1437979,7.319999999999993,300.71000000000004,1.8399999999999999,0.03285366840955374,0.06557377049179806,0.0,18.790000000000003,22.15,0.19,0.04159599635248977,0.029803086748270285,0.0
2021-06-29,1437977,7.080000000000041,301.19,1.8399999999999999,0.10190219798310521,0.016949152542373426,0.0,19.010000000000005,22.709999999999997,0.19,0.12334400713262829,0.007364544976328276,0.0
2021-06-30,1437971,7.680000000000007,301.31,1.8399999999999999,0.10959839419571038,0.09375000000000347,0.0,21.21,22.849999999999998,0.19,0.12897576233498037,0.0396039603960396,0.0
2021-07-01,1437964,7.800000000000011,302.03000000000003,1.8399999999999999,0.030832225820139243,0.03076923076923189,0.0,23.099999999999998,23.689999999999998,0.19,0.033835364698724286,0.012121212121212172,0.0
2021-07-02,1437962,7.800000000000011,302.27000000000004,1.8399999999999999,0.04624840305505017,0.06153846153845649,0.0,23.599999999999998,23.97,0.19,0.04967783972226795,0.023728813559321982,0.0
2021-07-03,1437959,7.680000000000007,302.75,1.8399999999999999,0.046971132348001536,0.046875000000001735,0.0,24.21,24.529999999999998,0.19,0.04842624797216519,0.01734820322180924,0.0
2021-07-04,1437956,7.680000000000007,303.11,1.8399999999999999,0.05479976873423104,0.03125000000000116,0.0,24.96,24.95,0.19,0.16580442847792998,0.03125000000000004,0.0
2021-07-05,1437949,7.860000000000014,303.35,1.8399999999999999,0.030597184489640855,0.030534351145039274,0.0,28.309999999999995,25.73,0.19,0.08353431258227999,0.02755210173083708,0.0
2021-07-06,1437945,7.860000000000014,303.59000000000003,1.8399999999999999,0.0841424914090317,0.06106870229007855,0.0,29.889999999999997,26.509999999999998,0.19,0.2175768872868542,0.052191368350619015,0.0
2021-07-07,1437934,8.039999999999964,304.07000000000005,1.8399999999999999,0.014956242464702068,0.014925373134321922,0.0,34.81999999999999,28.07,0.19,0.03395865965707468,0.011200459506030934,0.0
2021-07-08,1437932,8.04000000000002,304.19,1.8399999999999999,0.029912526534271094,0.07462686567164444,0.0,35.61000000000001,28.459999999999997,0.19,0.06641068092669132,0.05475989890480209,0.0
2021-07-09,1437928,7.680000000000007,304.79,1.8399999999999999,0.16440250746212592,0.12499999999999722,0.0,36.02,30.41,0.19,0.3446884331909983,0.08661854525263744,0.0
2021-07-10,1437907,7.980000000000018,305.75,1.8399999999999999,0.1732932511959173,0.18045112781954817,0.0,45.28999999999999,33.53,0.19,0.3002499761833443,0.10333406933097815,0.0
2021-07-11,1437884,7.920000000000016,307.19,1.8399999999999999,0.10628366110032203,0.10606060606060987,0.0,54.18,38.21,0.19,0.15277540654287738,0.05038759689922488,0.0
2021-07-12,1437870,7.920000000000016,308.03000000000003,1.8399999999999999,0.06832587596425761,0.03030303030303139,0.0,59.71,40.940000000000005,0.19,0.08911772266113535,0.013063138502763375,0.0
2021-07-13,1437861,8.21999999999997,308.27000000000004,1.8399999999999999,0.10972107153267045,0.08759124087590912,0.0,64.23999999999998,41.720000000000006,0.19,0.13805657241571798,0.03642590286425898,0.0
2021-07-14,1437846,8.400000000000034,308.99,1.8399999999999999,0.15031943615658364,0.10000000000000338,0.0,70.75,44.06,0.19,0.17549661380259865,0.0385865724381625,0.0
2021-07-15,1437825,8.819999999999993,309.83000000000004,1.8399999999999999,0.15679807381022767,0.02721088435374255,0.0,80.41,46.79,0.19,0.16912196171571992,0.009700286034075379,0.0
2021-07-16,1437802,9.95999999999998,310.07000000000005,1.8399999999999999,0.07244531868531673,0.03614457831324875,0.0,93.19999999999999,47.57,0.19,0.07612976944248827,0.012553648068669548,0.0
2021-07-17,1437790,10.319999999999993,310.43,1.8399999999999999,0.13401091824225722,0.034883720930233904,0.0,99.10999999999999,48.74,0.19,0.13721549776232728,0.011805065079204943,0.0
2021-07-18,1437767,11.339999999999975,310.79,1.8399999999999999,0.0371179495446502,0.03703703703703852,0.0,111.50999999999999,49.910000000000004,0.19,0.09688413948942574,0.037037037037037,0.0
