기간,관내 서울,관내 부산,관내 대구,관내 인천,관내 광주,관내 대전,관내 울산,관내 세종,관내 경기,관내 강원,관내 충북,관내 충남,관내 전북,관내 전남,관내 경북,관내 경남,관내 제주
'22.02 4주차,13422275,4902973,3444450,4110886,2228624,2096196,1675053,404735,17341668,2417084,2167820,2900963,2799914,2612571,3840629,4818750,1092004
'22.03 1주차,13772122,4994398,3547927,4189153,2262223,2144193,1691782,411705,17715953,2447734,2203805,2949623,2841681,2635262,3909266,4850938,1105890
'22.03 2주차,13700746,4948113,3518632,4166883,2254952,2137982,1681389,408611,17643882,2417752,2190682,2936503,2827577,2619889,3871807,4799632,1088824
'22.03 3주차,13629590,4949895,3512203,4157711,2249484,2124937,1672756,408152,17547544,2408852,2179614,2921666,2819377,2610403,3851330,4785666,1082922
'22.03 4주차,13635602,4993192,3513010,4157374,2258789,2129441,1681680,408394,17566412,2430783,2186425,2931330,2825915,2615471,3890363,4824776,1099405
'22.03 5주차,13843846,5070719,3575606,4226858,2294780,2161348,1723200,414218,17839546,2491180,2220120,2977795,2885332,2679085,3970366,4935823,1147147
'22.04 1주차,14158476,5181519,3651426,4327027,2352755,2220793,1770323,428915,18239788,2589048,2291134,3066110,2987716,2777911,4104015,5068486,1184062
'22.04 2주차,14022588,5129738,3625440,4306947,2354690,2197527,1753393,425454,18130964,2580632,2280628,3052900,2971059,2762571,4061227,5036119,1173441
'22.04 3주차,14106044,5163110,3653259,4325989,2355510,2214268,1768511,427562,18219443,2605158,2301730,3072419,2999856,2788282,4092293,5065472,1188945
'22.04 4주차,14113980,5157479,3649100,4334967,2359381,2217999,1767875,420195,18249424,2603747,2303773,3083235,3006089,2787266,4094358,5074785,1186384
'22.05 1주차,14002637,5189782,3645225,4328598,2350270,2212676,1759349,406036,18144056,2613930,2302764,3067650,3012709,2800772,4126661,5116038,1215390
'22.05 2주차,14366346,5274235,3728055,4413583,2405852,2268017,1809302,428278,18569515,2664558,2343648,3128282,3054362,2832882,4170194,5166171,1199953
'22.05 3주차,14280680,5248237,3708009,4383405,2396037,2257603,1797989,422233,18447662,2646153,2341017,3113385,3049363,2829926,4167739,5147263,1204383
'22.05 4주차,14217213,5211974,3682580,4361620,2381174,2246671,1790995,421291,18371672,2635529,2322973,3098926,3034815,2819213,4142157,5120014,1191331
