incDec,stdDay,delta_variants,omicron_variants
1213.0,2022-04-19,0.0,1213.0
1398.0,2022-04-20,0.0,1398.0
1285.0,2022-04-21,0.0,1285.0
1188.0,2022-04-22,0.0,1188.0
1022.0,2022-04-23,0.0,1022.0
994.0,2022-04-24,0.0,994.0
734.0,2022-04-25,0.0,726.66
746.0,2022-04-26,0.0,738.54
1237.0,2022-04-27,0.0,1224.6299999999999
845.0,2022-04-28,0.0,836.55
752.0,2022-04-29,0.0,744.48
781.0,2022-04-30,0.0,773.1899999999999
577.0,2022-05-01,0.0,571.23
433.0,2022-05-02,0.0,428.67
390.0,2022-05-03,0.0,386.1
729.0,2022-05-04,0.0,721.71
576.0,2022-05-05,0.0,570.24
571.0,2022-05-06,0.0,565.29
309.0,2022-05-07,0.0,305.91
697.0,2022-05-08,0.0,690.03
429.0,2022-05-09,0.0,429.0
404.0,2022-05-10,0.0,404.0
709.0,2022-05-11,0.0,709.0
465.0,2022-05-12,0.0,465.0
459.0,2022-05-13,0.0,459.0
405.0,2022-05-14,0.0,405.0
366.0,2022-05-15,0.0,366.0
243.0,2022-05-16,0.0,243.0
308.0,2022-05-17,0.0,308.0
442.0,2022-05-18,0.0,442.0
364.0,2022-05-19,0.0,364.0
391.0,2022-05-20,0.0,391.0
377.0,2022-05-21,0.0,377.0
280.0,2022-05-22,0.0,280.0
258.0,2022-05-23,0.0,258.0
271.0,2022-05-24,0.0,271.0
581.0,2022-05-25,0.0,581.0
304.0,2022-05-26,0.0,304.0
281.0,2022-05-27,0.0,281.0
278.0,2022-05-28,0.0,278.0
257.0,2022-05-29,0.0,257.0
124.0,2022-05-30,0.0,124.0
236.0,2022-05-31,0.0,236.0
280.0,2022-06-01,0.0,280.0
201.0,2022-06-02,0.0,201.0
142.0,2022-06-03,0.0,142.0
210.0,2022-06-04,0.0,210.0
179.0,2022-06-05,0.0,179.0
111.0,2022-06-06,0.0,111.0
134.0,2022-06-07,0.0,134.0
173.0,2022-06-08,0.0,173.0
199.0,2022-06-09,0.0,199.0
162.0,2022-06-10,0.0,162.0
126.0,2022-06-11,0.0,126.0
143.0,2022-06-12,0.0,143.0
83.0,2022-06-13,0.0,83.0
112.0,2022-06-14,0.0,112.0
143.0,2022-06-15,0.0,143.0
131.0,2022-06-16,0.0,131.0
137.0,2022-06-17,0.0,137.0
101.0,2022-06-18,0.0,101.0
127.0,2022-06-19,0.0,127.0
77.0,2022-06-20,0.0,77.0
69.0,2022-06-21,0.0,69.0
163.0,2022-06-22,0.0,163.0
101.0,2022-06-23,0.0,101.0
132.0,2022-06-24,0.0,132.0
83.0,2022-06-25,0.0,83.0
100.0,2022-06-26,0.0,100.0
67.0,2022-06-27,0.0,67.0
83.0,2022-06-28,0.0,83.0
169.0,2022-06-29,0.0,169.0
205.0,2022-06-30,0.0,205.0
184.0,2022-07-01,0.0,184.0
216.0,2022-07-02,0.0,216.0
207.0,2022-07-03,0.0,207.0
174.0,2022-07-04,0.0,174.0
285.0,2022-07-05,0.0,285.0
381.0,2022-07-06,0.0,381.0
413.0,2022-07-07,0.0,413.0
394.0,2022-07-08,0.0,394.0
366.0,2022-07-09,0.0,366.0
492.0,2022-07-10,0.0,492.0
359.0,2022-07-11,0.0,359.0
542.0,2022-07-12,0.0,542.0
964.0,2022-07-13,0.0,964.0
854.0,2022-07-14,0.0,854.0
